Area_Name,Year,Group_Name,Sub_Group_Name,Cases_Acquitted_or_Discharged,Cases_charge_sheets_were_not_laid_but_Final_Report_submitted,Cases_Chargesheeted,Cases_Compounded_or_Withdrawn,Cases_Convicted,Cases_Declared_False_on_Account_of_Mistake_of_Fact_or_of_Law,Cases_Investigated_Chargesheets+FR_Submitted,Cases_not_Investigated_or_in_which_investigation_was_refused,Cases_Pending_Investigation_at_Year_End,Cases_Pending_Investigation_from_previous_year,Cases_Pending_Trial_at_Year_End,Cases_Pending_Trial_from_the_previous_year,Cases_Reported,Cases_Sent_for_Trial,Cases_Trials_Completed,Cases_Withdrawn_by_the_Govt,Cases_withdrawn_by_the_Govt_during_investigation,Total_Cases_for_Trial
Chhattisgarh,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,62,18,105,111,25,5,123,1,44,24,727,820,149,105,87,0,0,925
Dadra & Nagar Haveli,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,4,0,2,0,1,0,2,0,3,1,8,11,4,2,5,0,0,13
Daman & Diu,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,2,0,0,0,0,2,0,0,1,1,1,1,0,0,0,0,1
Delhi,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,118,326,201,0,14,216,527,36,1000,985,470,401,797,201,132,0,3,602
Goa,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,2,4,7,0,0,0,11,0,6,4,23,18,13,7,2,0,0,25
Gujarat,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,388,181,535,9,31,156,716,1,112,126,4777,4670,859,535,419,0,0,5205
Haryana,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,189,23,159,1,50,78,182,0,50,39,591,672,271,159,239,0,0,831
Himachal Pradesh,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,48,7,38,1,7,49,45,0,31,29,171,189,96,38,55,0,0,227
Jammu & Kashmir,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,151,21,480,5,2,131,501,0,296,313,2557,2235,615,480,153,0,0,2715
Jharkhand,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,130,39,163,8,36,27,202,0,114,81,767,778,262,163,166,0,0,941
Karnataka,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,148,54,152,4,1,59,206,4,80,105,720,721,244,152,149,0,0,873
Kerala,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,29,3,55,3,4,9,58,7,76,48,372,353,102,55,33,0,0,408
Lakshadweep,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,635,90,484,12,158,30,574,0,121,117,2671,2992,608,484,793,0,0,3476
Maharashtra,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,377,99,445,21,28,49,544,0,194,162,4813,4794,626,445,405,0,1,5239
Manipur,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,1,47,2,0,1,0,49,0,95,73,29,29,71,2,2,0,0,31
Meghalaya,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,3,3,1,0,0,0,4,0,23,17,80,82,10,1,3,0,0,83
Mizoram,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,1,1,0,2,0,2,0,1,1,1,2,2,1,2,0,0,3
Nagaland,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,1,0,0,2,0,1,0,20,18,31,33,3,0,2,0,0,33
Odisha,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,256,45,349,0,52,70,394,0,146,237,1355,1314,373,349,308,0,0,1663
Puducherry,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,2,0,3,0,0,1,3,1,10,2,8,7,13,3,2,0,0,10
Punjab,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,73,102,164,6,25,156,266,4,154,285,554,494,295,164,98,0,0,658
Rajasthan,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,556,191,495,33,188,1049,686,0,157,142,3659,3941,1750,495,744,0,0,4436
Sikkim,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1
Tamil Nadu,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,262,87,296,3,37,207,383,11,312,285,755,761,632,296,299,0,4,1057
Tripura,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,14,23,46,0,10,0,69,0,1,41,63,41,29,46,24,0,0,87
Uttar Pradesh,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,594,214,1025,37,631,168,1239,2,314,224,6507,6744,1499,1025,1225,0,0,7769
Uttarakhand,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,21,37,79,2,20,16,116,0,28,26,331,295,134,79,41,0,0,374
West Bengal,2003,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,293,88,594,16,66,62,682,0,948,891,5137,4918,801,594,359,0,0,5512
Andaman & Nicobar Islands,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,1,1,3,0,1,0,4,0,1,2,16,15,3,3,2,0,0,18
Andhra Pradesh,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,421,57,508,30,50,299,565,19,513,366,1407,1400,1030,508,471,0,0,1908
Arunachal Pradesh,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,11,25,1,2,0,36,0,23,18,300,278,41,25,2,0,0,303
Assam,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,337,542,734,94,95,207,1276,0,2305,2236,2298,2090,1552,734,432,0,0,2824
Bihar,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,380,137,444,1,71,99,581,0,1001,684,3112,3120,997,444,451,0,0,3564
Chandigarh,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,19,2,31,0,1,12,33,0,6,8,76,65,43,31,20,0,0,96
Chhattisgarh,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,172,9,153,103,77,18,162,0,38,44,528,727,174,153,249,0,0,880
Dadra & Nagar Haveli,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,4,0,4,0,0,0,4,0,6,3,8,8,7,4,4,0,0,12
Daman & Diu,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,114,345,274,0,13,155,619,28,1069,1000,617,470,881,274,127,0,10,744
Goa,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,4,5,4,0,1,0,9,0,7,6,22,23,10,4,5,0,0,27
Gujarat,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,413,146,611,14,46,121,757,2,137,112,4915,4777,905,611,459,0,0,5388
Haryana,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,169,19,178,1,38,85,197,0,60,50,561,591,292,178,207,0,0,769
Himachal Pradesh,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,39,3,32,0,4,45,35,0,50,31,160,171,99,32,43,0,0,203
Jammu & Kashmir,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,214,35,452,9,5,128,487,0,313,296,2781,2557,632,452,219,0,0,3009
Jharkhand,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,130,39,163,8,36,27,202,0,63,114,756,767,178,163,166,0,0,930
Karnataka,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,137,41,171,3,9,74,212,0,80,80,742,720,286,171,146,0,0,891
Kerala,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,48,13,95,2,3,27,108,9,74,76,414,372,142,95,51,0,0,467
Lakshadweep,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,431,70,498,24,127,21,568,0,116,121,2587,2671,584,498,558,0,0,3169
Maharashtra,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,413,90,579,14,31,72,669,0,239,194,4934,4813,787,579,444,0,1,5392
Manipur,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,2,39,1,0,0,0,40,2,124,95,28,29,71,1,2,0,0,30
Meghalaya,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,2,3,9,0,0,0,12,0,29,23,87,80,18,9,2,0,0,89
Mizoram,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
Nagaland,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,3,11,0,10,0,14,0,10,20,32,31,4,11,10,0,0,42
Odisha,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,279,34,303,0,36,66,337,0,165,146,1343,1355,423,303,315,0,1,1658
Puducherry,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,5,0,5,0,1,0,5,3,10,10,7,8,8,5,6,0,0,13
Punjab,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,91,48,170,7,73,98,218,1,148,154,553,554,311,170,164,0,0,724
Rajasthan,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,467,193,598,24,183,1089,791,0,158,157,3583,3659,1881,598,650,0,0,4257
Sikkim,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,0,3,0,0,0,3,0,1,0,3,0,4,3,0,0,0,3
Tamil Nadu,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,232,99,370,9,40,225,469,9,299,312,844,755,692,370,272,0,2,1125
Tripura,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,30,9,15,0,14,3,24,0,28,1,34,63,54,15,44,0,0,78
Uttar Pradesh,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,691,443,1526,33,768,242,1969,0,427,314,6541,6507,2324,1526,1459,0,0,8033
Uttarakhand,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,14,46,62,2,21,15,108,0,32,28,356,331,127,62,35,0,0,393
West Bengal,2004,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,331,193,633,11,28,49,826,1,1090,948,5400,5137,1018,633,359,0,0,5770
Andaman & Nicobar Islands,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,0,0,0,0,0,0,0,2,1,16,16,1,0,0,0,0,16
Andhra Pradesh,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,362,65,655,14,55,327,720,0,461,513,1631,1407,995,655,417,0,0,2062
Arunachal Pradesh,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,6,13,29,7,6,0,42,0,20,23,310,300,39,29,12,0,0,329
Assam,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,351,409,726,138,113,160,1135,0,2466,2305,2422,2298,1456,726,464,0,0,3024
Bihar,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,370,93,512,3,71,105,605,0,1220,1001,3180,3112,929,512,441,0,0,3624
Chandigarh,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,13,5,12,0,0,19,17,0,15,6,75,76,45,12,13,0,0,88
Chhattisgarh,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,51,18,157,0,23,1,175,1,42,38,611,528,184,157,74,0,3,685
Dadra & Nagar Haveli,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,5,0,3,0,0,4,3,0,8,6,6,8,9,3,5,0,0,11
Daman & Diu,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,0,1,0,0,0,1,0,1,0,1,0,2,1,0,0,0,1
Delhi,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,51,311,279,0,15,170,590,15,1378,1069,830,617,1106,279,66,0,22,896
Goa,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,3,2,6,0,0,0,8,0,11,7,25,22,12,6,3,0,0,28
Gujarat,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,316,177,604,18,51,87,781,0,185,137,5134,4915,916,604,367,0,0,5519
Haryana,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,94,17,164,0,49,116,181,0,107,60,582,561,344,164,143,0,0,725
Himachal Pradesh,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,52,5,49,0,2,57,54,0,41,50,155,160,102,49,54,0,0,209
Jammu & Kashmir,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,212,19,455,0,7,115,474,0,382,313,3017,2781,658,455,219,0,0,3236
Jharkhand,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,81,44,160,9,13,17,204,0,125,63,813,756,283,160,94,0,0,916
Karnataka,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,208,36,151,0,11,71,187,2,132,80,674,742,312,151,219,0,0,893
Kerala,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,48,9,94,0,4,19,103,0,81,74,456,414,129,94,52,0,0,508
Lakshadweep,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,566,86,486,113,177,24,572,0,124,116,2217,2587,604,486,743,0,0,3073
Maharashtra,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,381,111,571,10,34,64,682,2,342,239,5080,4934,851,571,415,0,0,5505
Manipur,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,3,48,2,0,0,0,50,1,142,124,27,28,69,2,3,0,0,30
Meghalaya,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,3,4,3,0,0,0,7,0,41,29,87,87,19,3,3,0,0,90
Mizoram,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,2
Nagaland,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,20,7,10,0,18,0,17,0,2,10,4,32,9,10,38,0,0,42
Odisha,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,198,24,324,0,23,87,348,0,277,165,1446,1343,547,324,221,0,0,1667
Puducherry,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,1,0,6,0,1,1,6,0,6,10,11,7,3,6,2,0,0,13
Punjab,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,70,44,163,1,17,92,207,0,178,148,628,553,329,163,87,0,0,716
Rajasthan,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,368,220,494,35,155,884,714,0,109,158,3519,3583,1549,494,523,0,0,4077
Sikkim,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,0,2,0,0,0,2,0,1,1,5,3,2,2,0,0,0,5
Tamil Nadu,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,297,153,347,6,73,253,500,19,310,299,813,844,783,347,370,2,0,1189
Tripura,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,35,23,37,0,8,0,60,0,11,28,28,34,43,37,43,0,0,71
Uttar Pradesh,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,643,424,1538,69,721,218,1962,0,503,427,6646,6541,2256,1538,1364,0,0,8079
Uttarakhand,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,38,36,65,1,39,17,101,0,39,32,343,356,125,65,77,0,0,421
West Bengal,2005,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,320,176,799,13,66,24,975,0,1130,1090,5800,5400,1039,799,386,0,0,6199
Andaman & Nicobar Islands,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,0,7,0,0,0,7,0,0,2,23,16,5,7,0,0,0,23
Andhra Pradesh,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,436,42,709,47,71,391,751,0,648,461,1786,1631,1329,709,507,0,0,2340
Arunachal Pradesh,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,5,10,37,3,3,0,47,0,24,20,336,310,51,37,8,0,0,347
Assam,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,527,471,798,92,102,181,1269,0,2560,2466,2499,2422,1544,798,629,0,0,3220
Bihar,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,461,270,643,4,118,217,913,0,1174,1220,3240,3180,1084,643,579,0,0,3823
Chandigarh,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,24,4,27,0,5,24,31,0,17,15,73,75,57,27,29,0,0,102
Chhattisgarh,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,76,17,156,8,45,4,173,1,42,42,638,611,178,156,121,0,0,767
Dadra & Nagar Haveli,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,1,2,9,0,0,4,11,0,7,8,14,6,14,9,1,0,0,15
Daman & Diu,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,2
Delhi,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,71,251,247,0,40,155,498,17,1751,1378,966,830,1066,247,111,0,23,1077
Goa,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,2,3,10,0,0,1,13,0,7,11,33,25,10,10,2,0,0,35
Gujarat,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,385,143,654,22,76,100,797,6,227,185,5305,5134,945,654,461,0,0,5788
Haryana,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,131,25,263,0,55,139,288,0,111,107,659,582,431,263,186,0,0,845
Himachal Pradesh,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,32,7,45,4,6,53,52,0,45,41,158,155,109,45,38,0,0,200
Jammu & Kashmir,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,206,16,571,9,8,146,587,0,372,382,3365,3017,723,571,214,0,0,3588
Jharkhand,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,133,59,250,3,25,34,309,0,192,125,902,813,410,250,158,0,0,1063
Karnataka,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,144,43,198,1,8,84,241,5,129,132,719,674,328,198,152,0,1,872
Kerala,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,66,7,149,3,4,16,156,0,111,81,532,456,202,149,70,0,0,605
Lakshadweep,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,420,72,515,2,215,14,587,0,140,124,2095,2217,617,515,635,0,0,2732
Maharashtra,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,298,126,609,14,36,84,735,0,444,342,5341,5080,921,609,334,0,0,5689
Manipur,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,63,0,0,1,0,63,0,158,142,26,27,79,0,1,0,0,27
Meghalaya,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,3,6,10,1,0,0,16,0,50,41,93,87,25,10,3,0,0,97
Mizoram,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,0,1,0,2,0,1,0,0,0,0,1,1,1,2,0,0,2
Nagaland,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,0,3,0,2,0,3,0,2,2,5,4,3,3,2,0,0,7
Odisha,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,233,26,396,0,46,91,422,1,340,277,1563,1446,577,396,279,0,0,1842
Puducherry,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,2,0,8,0,0,1,8,1,9,6,17,11,13,8,2,0,0,19
Punjab,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,76,58,162,0,19,103,220,0,273,178,695,628,418,162,95,0,0,790
Rajasthan,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,352,161,546,24,225,859,707,0,96,109,3464,3519,1553,546,577,0,0,4065
Sikkim,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,1,4,0,0,0,5,0,3,1,9,5,7,4,0,0,0,9
Tamil Nadu,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,307,100,350,11,58,195,450,10,359,310,787,813,718,350,365,0,14,1163
Tripura,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,12,22,27,0,8,0,49,0,24,11,35,28,62,27,20,0,0,55
Uttar Pradesh,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,839,577,1815,66,903,257,2392,0,405,503,6653,6646,2551,1815,1742,0,0,8461
Uttarakhand,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,41,42,133,27,49,17,175,0,30,39,359,343,183,133,90,0,0,476
West Bengal,2006,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,626,233,838,19,120,24,1071,0,1234,1130,5873,5800,1199,838,746,0,0,6638
Andaman & Nicobar Islands,2007,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,2,0,3,0,0,0,3,0,6,0,24,23,9,3,2,0,0,26
Andhra Pradesh,2007,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,496,47,1003,84,60,495,1050,0,667,648,2149,1786,1564,1003,556,0,0,2789
Arunachal Pradesh,2007,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,1,13,33,2,4,0,46,0,22,24,362,336,44,33,5,0,0,369
Assam,2007,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,575,413,886,82,250,167,1299,0,2565,2560,2478,2499,1471,886,825,0,0,3385
Bihar,2007,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,598,213,787,8,78,248,1000,0,1186,1174,3343,3240,1260,787,676,0,0,4027
Chandigarh,2007,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,16,1,23,0,10,14,24,0,25,17,70,73,46,23,26,0,0,96
Chhattisgarh,2007,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,51,16,148,1,16,7,164,0,52,42,718,638,181,148,67,0,0,786
Dadra & Nagar Haveli,2007,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,3,2,5,0,0,1,7,0,5,7,16,14,6,5,3,0,0,19
Daman & Diu,2007,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,0,1,0,0,0,1,0,1,1,2,1,1,1,0,0,0,2
Delhi,2007,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,68,314,277,0,38,198,591,28,2082,1751,1137,966,1167,277,106,0,19,1243
Goa,2007,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,2,3,2,0,2,0,5,0,9,7,31,33,7,2,4,0,0,35
Gujarat,2007,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,277,182,789,6,55,95,971,6,244,227,5756,5305,1089,789,332,0,0,6094
Haryana,2007,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,170,25,311,1,50,170,336,0,159,111,749,659,554,311,220,0,0,970
Himachal Pradesh,2007,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,34,8,51,5,3,71,59,0,65,45,167,158,150,51,37,0,0,209
Jammu & Kashmir,2007,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,278,41,496,2,2,197,537,0,345,372,3579,3365,707,496,280,0,0,3861
Jharkhand,2007,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,298,74,339,3,125,23,413,0,290,192,815,902,534,339,423,0,0,1241
Karnataka,2007,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,138,79,194,0,13,92,273,10,143,129,762,719,390,194,151,0,1,913
Kerala,2007,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,56,8,147,3,9,12,155,0,121,111,611,532,177,147,65,0,0,679
Lakshadweep,2007,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2007,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,450,89,585,47,146,20,674,0,147,140,2037,2095,701,585,596,0,0,2680
Maharashtra,2007,Kidnapping & Abduction - Women & Girls,02. Kidnapping & Abduction of Women & Girls,292,121,676,15,53,96,797,0,518,444,5657,5341,967,676,345,0,0,6017
